"NAGPUR: A ninth T20 international century from Mohammad Shahzad has guided Afghanistan to a competitive 5-170 in their ICC World T20 clash against Scotland.Shahzad gave his side the perfect start after they won the toss, smashing five fours and three sixes in an entertaining innings in their Group B match in Nagpur.The world's 12th ranked T20 batsman finished with 61 from 39 balls, a crucial contribution in setting Scotland and imposing target of 171.Captain Asghar Stanikzai offered good support with 55 not out from 50 balls but he was contained in the late overs thanks to tight bowling from Alasdair Evans (1-24 from four) and Safyaan Sharif (0-29 from four).�Both teams are desperate for a win after Group B rivals Zimbabwe got the better of Hong Kong earlier tonight.�",3/8/2016,Shahzad Stanikzai steer Afghanistan to 170 5,sports
"NAGPUR: �Afghanistan captain Asghar Stanikzai chose to bat against Scotland in the second match of the opening day of the World T20 in Nagpur. Stanikzai attributed the reason behind his decision to the flat track and his hopes of getting more turn in the second half of the match.Stanikzai said 150 would be a good total to aim for. He picked a spin-heavy attack comprising left-arm spinner Amir Hamza and leg-spinner Rashid Khan, to be followed by Samiullah Shenwari and Mohammad Nabi. The main seamer picked in the XI was Dawlat Zadran as they left out Hamid Hassan and Shapoor Zadran.Scotland's XI, on the other hand, was pace-reliant with Josh Davey, Alasdair Evans and Safyaan Sharif, even as captain Preston Mommsen said he was ""not too bothered"" about batting second. The lone frontline spinner included was 19-year-old left-arm spinner Mark Watt. Mommsen said they would look to restrict Afghanistan to under 150-160.Afghanistan: Mohammad Shahzad (wk), Noor Ali Zadran, Asghar Stanikzai (captain), Mohammad Nabi, Samiullah Shenwari, Najibullah Zadran, Gulbadin Naib, Dawlat Zadran, Rashid Khan, Shafiqullah, Amir HamzaScotland: Kyle Coetzer, Calum MacLeod, Matthew Cross (wk), Matt Machan, Richie Berrington, Preston Mommsen (captain), George Munsey, Josh Davey, Safyaan Sharif, Mark Watt, Alasdair Evans��",3/8/2016,Afghanistan win toss bat against Scotland,sports
"NAGPUR: Zimbabwe defeated Hong Kong by 14 runs in the opening match, first round group B game, of the sixth ICC World Twenty20 here on Tuesday.Chasing a daunting target of 159, Hong Kong batted very well but gave up in the end against accurate bowling by Zimbabwe seamers.Hong Kong made 144 for six with the help of a fine 53 by Jamie Atkinson, who �hit two sixes and four boundaries in his maiden T20I half-century.Though captain Tanwir Afzal also made a bold attempt, smashing an unbeaten 31 from 17 balls with three fours and a six but could not succeed to reach the target.Donald Tiripano, who scalped Atkinson, bowled a fine last over while Tendai Chatara, on return, took two wickets in two balls.Both Tiripano and Chatara captured two wickets each for 27 and 28, respectively while Sikander Raza and captain Hamilton Masakadza got one each.Earlier sent into bat, Masakadza gave a fine start to his team with an aggressive 20, hitting two boundaries and a six but then wickets started crumbling as his team lost four wickets for 62 in 7.5 overs.However, opener Vusi Sibanda along with Malcolm Waller saved their team from total collapse adding 61 for the fifth wicket before both were dismissed quickly.Sibanda set the game up for Zimbabwe with his maiden T20I half-century. He scored 59 from 46 balls with five fours and two sixes while Waller scored 26.Later Elton Chigubmra played an unbeaten breezy innings of 30 off just 13 balls. He hit three consecutive sixes in the second last over to see Zimbabwe reach a competitive total.For Hong Kong, seamers Tanwir and Aizaz Khan claimed two wickets each while slow left-arm bowler Nadeem Ahmed took one wicket.Sibanda, after the match ended, was declared the Player of the Match.��",3/8/2016,Zimbabwe beat Hong Kong in World T20 opener,sports
"ISLAMABAD: The Pakistan security team in India has given a go-ahead signal for sending the national team to India for participating in the ICC World Twenty20 tournament.However, the Pakistan Cricket Board (PCB) has said that the decision will be taken, whether the national team will go to India, after reviewing the report of the Pakistan security delegation from India.The report is expected to be received this evening and the government will take its decision this tonight or tomorrow morning.The two-member Pakistan security delegation comprising senior director of the Federal Investigation Agency (FIA) Lahore, Dr UsmanAnwar and Pakistan Cricket Board (PCB) Chief Security officer, Col. (R) Azam Khan went to Amritsar (India) from Lahore on Monday to assess the situation at Dharamsala ahead of the Pakistan�India clash in that town on March 19.Meanwhile, the Pakistan cricket team is set to leave for India on Wednesday as five players from Karachi have arrived in Lahore this afternoon while captain of team Shahid Afridi and other players are already in Lahore.However according to reports available from across the border, the International Cricket Council (ICC) World Twenty20 Director MV Sridhar has said that the Pakistan security team has assessed the security measures taken in Dharamsala and are assured by the district administration that ample security would be provided to the players.Sridhar said the PCB security team had inspected the venue and also had a discussion with the Board of Control for Cricket in India(BCCI) and the tournament officials.The PCB delegation visited Dharamsala on Monday and met the BCCI, the tournament organisers and local officials of the Himachal Pradesh Cricket Association (HPCA).And also had the conversation with the district administrative officials that included District Commissioner and the Inspector-General of Police, he said.�",3/8/2016,Pak team set to leave for India tomorrow awaits Govt nod,sports
"NAGPUR: Zimbabwe finished their innings on 158 runs for eight wickets which will be a challenging total for Hong Kong to chase down in the inaugural match, first round group B, of the sixth ICC World Twenty20 here on Tuesday.Sent into bat by Hong Kong captain Tanwir Afzal, Zimbabwe captain Hamilton Masakadza was out for 20 after hitting two boundaries and a six but then wickets started crumbling as his team lost four wickets for 62 in 7.5 overs.However, opener Vusi Sibanda along with Malcolm Waller saved their team from total collapse adding 61 for the fifth wicket before both were dismissed quickly.Sibanda made 59 from 46 balls with five fours and two sixes while Waller scored 26.Later Elton Chigubmra played an unbeaten breezy innings of 30 off just 13 balls. He hit three consecutive sixes in the second last over to see Zimbabwe reach a competitive total.For Hong Kong, seamers Tanwir and Aizaz Khan claimed two wickets each while slow left-arm bowler Nadeem Ahmed took one wicket.�",3/8/2016,Zimbabwe set 159 runs for Hong Kong in World T20 opener,sports
"NAGPUR: Forty-four-year-old Ryan Campbell became the oldest debutant in T20 internationals as Hong Kong chose to chase in the World T20 opener in Nagpur. Hong Kong have opted to bowl 10 times of the 12 in which they have won the toss, showing a clear preference for knowing their target.Both captains expected the surface to produce plenty of runs and while Hamilton Masakadza would have preferred to bat second as well, he was not too unhappy with the decision.Zimbabwe chose to field what appears their strongest side with Vusi Sibanda and Masakadza at the top, Sikanda Raza in the middle order and senior seamer Tinashe Panyangara to head up the bowlers.Their attack included two others frontline seamers - Tendai Chatara, who recovered from a shin injury, and Donald Tiripano. The four slower options comprised Wellington Masakadza, Malcolm Waller, Sean Williams and Raza.Hong-Kong's line-up would be headed by Babar Hayat, who scored the fourth-fastest hundred in the format, off 50 balls, in the Asia Cup qualifying last month.Zimbabwe: Hamilton Masakadza, Vusi Sibanda, Richmond Mutumbami (wk), Malcolm Waller, Sean Williams, Sikanda Raza, Elton Chigumbura, Donald Tiripano, Tinashe Panyangara, Wellington Masakadza, Tendai ChataraHong Kong: Jamie Atkinson (wk), Ryan Campbell, Babar Hayat, Mark Chapman, Nizakat Khan, Anshuman Rath, Kinchit Shah, Tanwir Afzal (captain), Aizaz Khan, Haseeb Amjad, Nadeem Ahmed.�",3/8/2016,Hong Kong bowl Ryan Campbell debu,sports
"NEW DELHI:� Hosts India are favourites to clinch the sixth edition of the World Twenty20 in what could be a fairytale ending to the glittering career of captain Mahendra Singh Dhoni.India ranked number one in the world will seek to become the first side to win the International Cricket Council (ICC) title on home soil when the 16-team tournament gets under way on Tuesday.They are also gunning to become the tournament�s only two-time winners with South Africa Australia and the mercurial West Indies shaping as leading threats.Australia, the top�ranked Test side, are desperate to win their first World Twenty20 crown while Pakistan�s Mohammad Amir will play his first ICC tournament since returning from a five-year spot-fixing ban.India come into the tournament on the back of an eight-wicket win over Bangladesh in the Asia Cup final and have several key batsmen and bowlers in form.India�s hot streak of 10 wins from their last 11 T20 internationals, coupled with their vast and boisterous home support, means Dhoni�s men will be tough to beat.India also have added incentive to lift the trophy on April 3 at Eden Gardens in Kolkata because of the fact that the tournament may mark Dhoni�s swansong.Dhoni, who led India to the inaugural title in 2007, has struggled with the bat of late and turns 35 this summer.In-form batsman Virat Kohli and deadly off-spinner Ravichandran Ashwin are expected to be the key men for India, who are hosting the championship for the first time.The home side start their campaign against New Zealand on March 15 before playing arch�rivals Pakistan in Dharamsala four days later in a hotly awaited clash.Pakistan endured a disastrous Asia Cup, thanks largely to some atrocious batting and any hopes they have of making an impression will rely on the performances of the controversial Amir.The 23-year-old fast bowler was banned and jailed for deliberately sending down no�balls in a Test match against England in 2010. But he has been in good touch since re-entering the international fold earlier this year and lit up the Asia Cup with a devastating 3-18 spell in Pakistan�s loss to India.Second-ranked South Africa are hoping to spoil India�s party and come into the tournament full of confidence following a T20 series whitewash against England.The Proteas have never won the World Twenty20 but anything less than the final will be considered a failure for the Faf du Plessis-led side, who boast top run�scorers AB De Villiers and Hashim Amla and leg�spinner Imran Tahir.Defending champions Sri Lanka are a shadow of the side that won in Bangladesh two years ago and have struggled to come to terms with the void left by legends Kumar Sangakkara and Mahela Jayawardene.The West Indies tilt at a second title, have been hit by injury, withdrawals and a bitter pay dispute with squad members arguing with the country�s board over fees to play in the tournament.Experienced batsman Darren Bravo, all-rounder Kieron Pollard and off-spinner Sunil Narine are all out but it would be unwise to write off the third-ranked Windies, especially when they boast the big-hitting Chris Gayle.The preliminary round starts on Tuesday with Afghanistan and Bangladesh favourites to join the big eight teams in the Super-10 group stage.In Tuesday�s opening matches, Hong Kong take on Zimbabwe and Afghanistan play Scotland.��",3/8/2016,Hosts with the most India eye World T20 cr,sports
"strong>COLOMBO: Lasith Malinga has stepped down as Sri Lanka captain ahead of their World Twenty20 title defence in India, the secretary of the country's cricket board told Reuters on Tuesday.</strongAngelo Mathews would take over as skipper from paceman Malinga, who remained available to play Super 10 stage matches from March 15, Mohan de Silva added.""He is stepping down only from captaincy,"" de Silva said.""He has offered himself for selection only after (March) 15 because he is undergoing some treatment here in Sri Lanka,"" the SLC secretary added.Test and one-day captain Mathews was named Malinga's deputy in the original Sri Lankan squad.According to media reports, paceman Malinga, who led Sri Lanka to the 2014 World Twenty20 triumph in Bangladesh, is recovering slowly from a knee injury and is not certain to play all the side's matches in India.The 32-year-old with an unorthodox action has been a key player in Sri Lanka�s progress to three World Twenty20 finals over the last four editions of the tournament.Sri Lanka begin their bid for a second World Twenty20 title on March 17 with a Super 10 stage match against the Group B winners in Kolkata.",3/8/2016,Malinga steps down as SLanka captain for World T20,sports
"strong>A jury on Monday found a Nashville hotel liable for a nude video of sportscaster Erin Andrews that went viral and awarded her $55 million in damages to be paid by the hotel and the man who shot the video.</strongAndrews sued the Nashville Marriott at Vanderbilt University over a 2008 video of her that was taken by a stalker in an adjoining room and posted on the Internet in 2009. Andrews, a Fox sportscaster who used to work for ESPN, had sought $75 million in damages.""We're disappointed with the outcome,"" defense attorney Marc Dedman told reporters. He said he would consult with his clients - the hotel owners and its former operators - on whether they would appeal.Jurors began deliberating on Monday morning after the two-week trial concluded on Friday.""I've been honored by all the support from victims around the world. Their outreach has helped me be able to stand up and hold accountable those whose job it is to protect everyone's safety, security and privacy,"" Andrews said in a brief statement on her Twitter feed.Andrews testified for two days during the trial, saying that since the video was seen by millions of people, she experienced serious mental injury, including depression, crying spells and sleeplessness.Her lawyers argued that the hotel was negligent and could have prevented the incident.The video was taken by Michael David Barrett, who pleaded guilty in 2009 to stalking Andrews and making the video. He was sentenced to 30 months in prison.Barrett asked the hotel to put him in a room next to Andrews' after an employee confirmed to him that she was staying there on a certain date. He rigged a peep hole to shoot the video of Andrews while she was changing.Lawyers for the hotel argued that the responsibility was solely Barrett's and there was no way the hotel could have foreseen what he did.The parties who were found liable were West End Hotel Partners, the investment group that owned the Nashville Marriott, and the operating company of the hotel at the time, Windsor Capital Group. Marriott International was originally named in Andrews' lawsuit, but the judge removed it.The jury found that the hotel is liable for 49 percent of the $55 million in damages, or $26.95 million, while Barrett is liable for 51 percent of the damages, equivalent to $28.05 million.",3/8/2016,Jury finds hotel liable in Erin Andrews stalker video ,sports
"strong>LOS ANGELES: Russian tennis star Maria Sharapova, the highest-paid woman in sports, said on Monday that she failed a drug test at the Australian Open due to a substance she has been taking for 10 years for health issues.</strongThe 28-year-old Sharapova, a five-time grand slam champion, will be provisionally suspended starting March 12, the International Tennis Federation (ITF) said.She is the seventh athlete in a month to test positive for meldonium, which is used to treat diabetes and low magnesium, and was only banned by the World Anti-Doping Agency as of Jan. 1.""I made a huge mistake. I let my fans down and I let the sport down,"" said Sharapova, a teenage tennis prodigy who became the third-youngest Wimbledon champion. ""I take full responsibility for it.""""I know that with this I face consequences and I don't want to end my career this way. I really hope that I will be given another chance to play this game,"" former world No.1 Sharapova told a news conference in a downtown Los Angeles hotel.The ITF's anti-doping program calls for a four-year suspension for a positive test, but that ban can be reduced in various circumstances, such as for first-time offences or if the player shows no significant fault or negligence. If a player bears no fault or negligence, there is no suspension.According to Forbes, she earned $29.5 million in 2015, mostly from endorsements.Sharapova said her family doctor had been giving her mildronate, which is also called meldonium, for 10 years after she frequently became sick, had irregular EKG results, a magnesium deficiency and a family history of diabetes.""It is very important for you to understand that for 10 years this medicine was not on WADA's banned list and I had been legally taking the medicine. But on January the first, the rules have changed and meldonium became a prohibited substance.""The World Anti-Doping Agency, or WADA, declined to comment until ITF issues a final decision.Meldonium is used to treat chest pain and heart attacks among other conditions, but some researchers have linked it to increased athletic performance and endurance. It is listed by WADA among its prohibited metabolic modulators, along with insulin, and some researchers say it can also help recovery.It is not approved in the United States but is available in Russia, Latvia and other countries in that region. Over the past month, Russian cyclist Eduard Vorganov, Russian figure skater Ekaterina Bobrova and Ethiopia-born athletes Endeshaw Negesse and Abeba Aregawi and Ukraine biathletes Olga Abramova and Artem Tyshchenko have all tested positive for meldonium.Sharapova is the most prominent tennis player to test positive for a banned substance in recent years.�",3/8/2016,Tennis star Sharapova faces suspension after failing drug ,sports
"CAPE TOWN: After South Africa's success chasing in recent matches, Faf du Plessis decided they needed to have another go at defending a total and opted to set Australia a target on a slow Newlands pitch. South Africa opted to rest AB de Villiers and give Hashim Amla an opportunity to open with Quinton de Kock.That was one of three changes South Africa made to their XI. Rilee Rossouw was given another chance with Farhaan Behardien missing out and South Africa dispensed with one of their allrounders to fit Kyle Abbott into the XI. Abbott was included ahead of Chris Morris.Australia also changed their top two and left out Aaron Finch to allow Usman Khawaja to open with his Sydney team-mate Shane Watson. Their other changes came in the bowling department with Adam Zampa returning in Ashton Agar's place and Nathan Coulter-Nile displacing Josh Hazlewood.South Africa: Hashim Amla, Quinton de Kock (wk), Faf du Plessis (captain), JP Duminy, David Miller, Rilee Rossouw, �David Wiese, Kagiso Rabada, Kyle Abbott, Dale Steyn, Imran TahiAustralia: Shane Watson, Usman Khawaja, David Warner, Steve Smith (captain), Glenn Maxwell, Mitchell Marsh, James Faulkner, Peter Nevill (wk), Adam Zampa, John Hastings, +Nathan Coulter-Nile�",3/9/2016,South Africa bat in decider against Australi,sports
"CAPE TOWN: South Africa staged a sensational comeback in defence of a below-par total to claim a first T20 series win over West Indies and sound a warning ahead of the World T20.South Africa's victory came less than three weeks after they beat England for the first time in a T20 and illustrated the progress the team has made since September 2014, when they were beaten 4-0 by England.West Indies, who have not lost a series in the same period of time, will be disappointed with their failure to complete a straightforward chase, especially as they were well on course.They had reached 81 for 3 in the 15th over and even though their captain Stafanie Taylor had been bowled around her legs by Dane van Niekerk, they had their other stalwart Deandra Dottin on hand.Dottin seemed to be striking the ball better than any of her team-mates but when she attempted a loft over long-on, she mistimed to spark a collapse. South Africa took four more wickets in the next 18 balls and then squeezed at the end to pull off a remarkable win.South Africa recovered from an early blow when Shamilia Connell had Trisha Chetty caught at slip and rebuilt cautiously through van Niekerk was joined and Mignon du Preez.The pair found the boundary just five times but rotated strike well to score at more than a run-a-ball and put on 48 for the second wicket. When van Niekerk was bowled as she tried to slog sweep Taylor over midwicket, and with the run-rate stagnating, du Preez took it on herself to try and force the pace. She managed only to gift a catch to short midwicket.Marizanne Kapp and Lizelle Lee also found it heavy going but with South Africa yet to reach 100 and only two overs left, they took some risks. Lee was the only batsman to clear the boundary and her efforts at the end gave South Africa something to defend but when West Indies knocked off the first 14 runs inside two overs, they would not have expected to be successful.Moseline Daniels had Kycia Knight trapped lbw to provide some early hope but that only brought Taylor to the crease. She tried to end matters quickly with her aggressive approach and when she was bowled, Dottin took over. It was only when Dottin was caught that South Africa fought back.Kyshona Knight departed soon after Dottin, sharp fielding resulted in the run-outs of Shermaine Campbell and Shaquana Quintyne and Shabnim Ismail took a good catch off her own bowling to give South Africa belief. Daniels and Ismail bowled tightly at the end and South Africa's fielders were on high alert to deny West Indies.�",3/9/2016,South Africa women clinch thriller to take series 2 1,sports
